Date review requested,Verdict (cred theft)
4/15/24,Positive
4/15/24,Unknown
4/15/24,Negative
4/17/24,Negative
4/10/24,Negative
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Negative
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Unknown
4/5/24,Negative
3/8/24,Positive
3/11/24,Positive
3/11/24,Positive
2/22/24,Unknown
3/11/24,Positive
3/13/24,N/A
3/11/24,Negative
3/11/24,Positive
3/11/24,Negative
3/17/24,Unknown
3/17/24,Positive
3/17/24,Positive
3/17/24,Positive
3/17/24,Positive
3/20/24,Positive
3/17/24,Positive
3/17/24,Positive
3/21/24,Positive
3/21/24,Positive
3/21/24,Negative
3/21/24,Positive
3/21/24,Positive
3/21/24,Negative
3/21/24,Negative
3/21/24,Negative
3/21/24,Negative
3/21/24,Positive
3/21/24,Negative
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/17/24,
2/20/24,Negative
2/21/24,
2/23/24,
2/24/24,
2/25/24,Negative
2/6/24,Negative
2/6/24,Positive
2/6/24,Deprioritized
2/6/24,Negative
2/6/24,Positive
2/6/24,Positive
2/6/24,Positive
2/6/24,Positive
2/6/24,Unknown
2/6/24,Unknown
4/5/24,
4/5/24,
4/5/24,
4/5/24,
4/5/24,
,51
,53
,20
,124
